SaleID,SaleDate,ProductID,Quantity,TotalPrice,CustomerID,StoreID,Profit,Month,Season,Year,ProductCategory,Brand
SALE0100000,2025-01-08,P1387,5,3268.7,CUST00974,STORE002,686.1409023526462,1,Winter,2025,Electronics,GlobalGifts
SALE0100001,2025-04-27,P1904,3,2387.91,CUST00887,STORE001,562.6734023289849,4,Spring,2025,Electronics,Unify
SALE0100002,2025-02-02,P1894,3,6662.88,CUST00024,STORE006,1602.7502774511274,2,Winter,2025,Apparel,SwiftTech
SALE0100003,2025-04-03,P2129,2,2155.18,CUST00969,STORE009,352.24991578874904,4,Spring,2025,Electronics,GreenGarden
SALE0100004,2025-04-17,P2336,4,267.28,CUST00655,STORE005,60.33328086098579,4,Spring,2025,Food,TechNova
SALE0100005,2025-01-17,P1490,4,2072.84,CUST00221,STORE009,378.4034611222168,1,Winter,2025,Electronics,TechNova
SALE0100006,2025-01-18,P1050,3,1262.25,CUST00210,STORE006,247.08216127151923,1,Winter,2025,Apparel,Lumiere
SALE0100007,2025-04-15,P1758,5,311.1,CUST00634,STORE003,70.48001974504474,4,Spring,2025,Tools,Evergreen
SALE0100008,2025-04-27,P2331,2,1708.66,CUST00861,STORE010,262.5289713800901,4,Spring,2025,Home Goods,DreamSleep
SALE0100009,2025-06-07,P1718,3,3113.58,CUST00849,STORE001,537.8615112299624,6,Summer,2025,Home Goods,Pinnacle
SALE0100010,2025-06-24,P1924,2,5345.14,CUST00066,STORE003,1333.009201158838,6,Summer,2025,Apparel,AquaFlow
SALE0100011,2025-04-11,P1335,4,4048.72,CUST00152,STORE008,736.3285508754265,4,Spring,2025,Tools,Vanguard
SALE0100012,2025-02-02,P2015,5,4377.2,CUST00367,STORE007,1037.1815086329764,2,Winter,2025,Books,Sportique
SALE0100013,2025-01-31,P1913,5,1868.35,CUST00819,STORE009,362.3431130972723,1,Winter,2025,Electronics,Zestful
SALE0100014,2025-01-05,P1604,5,43966.65,CUST00716,STORE002,9825.345769465835,1,Winter,2025,Books,Zestful
SALE0100015,2025-02-14,P2124,5,2561.4,CUST00707,STORE001,484.3952868700472,2,Winter,2025,Books,GreenGarden
SALE0100016,2025-01-09,P1946,1,461.63,CUST00520,STORE001,106.1303927973263,1,Winter,2025,Electronics,GourmetDelight
SALE0100017,2025-02-05,P1373,3,805.11,CUST00180,STORE001,179.49146805946128,2,Winter,2025,Home Goods,Quantum
SALE0100018,2025-05-05,P1601,5,1303.65,CUST00422,STORE002,269.01303093916965,5,Spring,2025,Electronics,BrightSpark
SALE0100019,2025-03-06,P2419,3,7997.34,CUST00381,STORE007,1735.7807535382506,3,Spring,2025,Food,Nexus
SALE0100020,2025-02-24,P1652,1,196.37,CUST00625,STORE006,30.29714545173842,2,Winter,2025,Books,SwiftTech
SALE0100021,2025-03-25,P1114,3,794.94,CUST00638,STORE004,187.2864556232473,3,Spring,2025,Food,EcoLiving
SALE0100022,2025-04-23,P1213,4,1880.12,CUST00894,STORE010,465.9278886680889,4,Spring,2025,Home Goods,VitalityPlus
SALE0100023,2025-04-08,P1328,5,6182.85,CUST00494,STORE007,1034.5507300121662,4,Spring,2025,Apparel,Unify
SALE0100024,2025-06-08,P1444,5,570.15,CUST00433,STORE002,99.6371869283118,6,Summer,2025,Tools,StylePro
SALE0100025,2025-02-11,P2257,1,660.71,CUST00442,STORE006,143.3144027489597,2,Winter,2025,Electronics,YieldMaster
SALE0100026,2025-06-07,P1965,4,2824.28,CUST00127,STORE008,465.9448721309751,6,Summer,2025,Apparel,Radiant
SALE0100027,2025-04-08,P2371,2,334.32,CUST00994,STORE007,53.00634172505684,4,Spring,2025,Apparel,FusionFoods
SALE0100028,2025-05-03,P1517,3,6298.86,CUST00330,STORE006,1092.0642412266875,5,Spring,2025,Electronics,Zestful
SALE0100029,2025-05-19,P1567,1,2435.34,CUST00927,STORE010,375.7462222218929,5,Spring,2025,Tools,OptiSolve
SALE0100030,2025-05-05,P1931,5,292.7,CUST00959,STORE008,67.25390634401049,5,Spring,2025,Food,PawsitivePet
SALE0100031,2025-06-17,P2242,1,799.78,CUST00822,STORE008,159.49059322368524,6,Summer,2025,Electronics,Stellar
SALE0100032,2025-06-28,P1938,3,447.57,CUST00273,STORE007,100.12448199369842,6,Summer,2025,Food,GreenGarden
SALE0100033,2025-01-20,P1863,3,2613.03,CUST00617,STORE006,467.8753548179581,1,Winter,2025,Apparel,ArtisanCrafts
SALE0100034,2025-06-24,P1616,3,4008.06,CUST00858,STORE005,912.295081448624,6,Summer,2025,Home Goods,Quantum
SALE0100035,2025-03-25,P1746,5,7624.6,CUST00818,STORE001,1768.1516563996977,3,Spring,2025,Books,StylePro
SALE0100036,2025-01-15,P2474,5,6595.05,CUST00416,STORE007,1316.529624658011,1,Winter,2025,Tools,Sportique
SALE0100037,2025-04-30,P1988,4,92392.16,CUST00925,STORE010,20744.86123723353,4,Spring,2025,Electronics,StylePro
SALE0100038,2025-06-09,P1734,3,84.36,CUST00226,STORE010,16.988219107353775,6,Summer,2025,Tools,GreenGarden
SALE0100039,2025-04-20,P1000,1,1432.27,CUST00803,STORE004,310.0162956539473,4,Spring,2025,Food,EleganceWear
SALE0100040,2025-01-21,P2071,2,2707.86,CUST00467,STORE002,471.3638532054144,1,Winter,2025,Tools,OptiSolve
SALE0100041,2025-05-22,P1547,3,1823.31,CUST00405,STORE010,337.48738039809297,5,Spring,2025,Home Goods,Xpert
SALE0100042,2025-05-23,P1102,4,12338.68,CUST00683,STORE002,2937.129172158244,5,Spring,2025,Books,Nexus
SALE0100043,2025-04-05,P1435,4,270462.44,CUST00292,STORE007,60602.21509068917,4,Spring,2025,Home Goods,Radiant
SALE0100044,2025-01-08,P1022,4,4005.64,CUST00546,STORE007,908.287372990186,1,Winter,2025,Home Goods,OptiSolve
SALE0100045,2025-01-17,P2161,4,1472.64,CUST00802,STORE008,245.65046490526984,1,Winter,2025,Electronics,DreamSleep
SALE0100046,2025-03-31,P1522,3,2647.17,CUST00313,STORE009,544.7094506680356,3,Spring,2025,Tools,OptiSolve
SALE0100047,2025-06-12,P2333,4,242210.12,CUST00689,STORE007,38244.01970754084,6,Summer,2025,Electronics,VitalityPlus
